"","protein","cor","p_value"
"SOD1","SOD1",-0.106074352379501,0.493155290960412
"CP","CP",-0.423303500193524,0.00419655332407047
"F13A1","F13A1",-0.236186024391704,0.142306976199848
"PNP","PNP",0.0765837301079845,0.621234674150061
"HPRT1","HPRT1",0.154272507902425,0.317373307930655
"GOT2","GOT2",0.114066662701035,0.460963103145849
"PGK1","PGK1",0.178893030523761,0.245283201186292
"AK1","AK1",0.152653813688974,0.322539093023939
"F2","F2",-0.183411839018251,0.233365610838405
"HP","HP",-0.300969881551525,0.0471187097071677
"HPR","HPR",-0.356132791863212,0.0222927062074947
"PLG","PLG",-0.306066050848574,0.0433271174567359
"F12","F12",0.0012649306667565,0.9938193017527
"CFB","CFB",-0.273444819248537,0.0724923608842932
"ADA","ADA",-0.105806775768747,0.666392585251728
"MT-ATP6","MT-ATP6",-0.00533722540574861,0.972570812741288
"CA1","CA1",0.0677841472888043,0.661974624140627
"CA2","CA2",-0.00809310707386648,0.958417983828942
"ASS1","ASS1",-0.294732610896605,0.0550350262752089
"SERPINC1","SERPINC1",-0.21470441484713,0.161641790169
"SERPINA1","SERPINA1",-0.4601867161623,0.00167200191846225
"SERPINA3","SERPINA3",-0.304612360984442,0.0443824271927978
"AGT","AGT",-0.142473994819426,0.414240803328629
"A2M","A2M",-0.119797785790903,0.438595195941038
"C3","C3",-0.337564329590683,0.0250314754711889
"CST3","CST3",0.197391615676723,0.210202135911388
"CSTA","CSTA",0.203149816694841,0.191361806697399
"KNG1","KNG1",-0.267917014977719,0.0786962217832245
"HRAS","HRAS",-0.0317532440758355,0.875066212833827
"JCHAIN","JCHAIN",-0.245841346674361,0.16787351960216
"IGKV3-20","IGKV3-20",-0.118468913158405,0.443727386187767
"IGHV3-7","IGHV3-7",-0.275883007019141,0.103384327419797
"IGHV3-9","IGHV3-9",-0.219617536106672,0.157058210512666
"IGKC","IGKC",-0.215796033210289,0.159469140685833
"IGHG1","IGHG1",-0.180928643411215,0.239864675258851
"IGHG2","IGHG2",-0.290198905434596,0.0560183220441008
"IGHG3","IGHG3",-0.316667040074504,0.0362338246929828
"IGHG4","IGHG4",-0.193276051366245,0.22005777265315
"IGHM","IGHM",-0.493083566798541,0.000672214692462935
"IGHA1","IGHA1",-0.183049158283594,0.234307243994737
"HLA-B","HLA-B",0.0245261206037719,0.877472787947671
"HLA-DRA","HLA-DRA",-0.254596535692686,0.0953566398122073
"HLA-DRB1","HLA-DRB1",-0.185388971927786,0.233965687844561
"HBD","HBD",0.0334187939664105,0.829491644413352
"MB","MB",-0.0966067207382543,0.532739050643757
"COL1A1","COL1A1",-0.0340686317746688,0.8303997460786
"COL3A1","COL3A1",-0.236456914978915,0.289390790244918
"COL4A1","COL4A1",-0.00636149337241551,0.967309483206912
"CRYAB","CRYAB",0.158151598409855,0.305207935168374
"KRT14","KRT14",0.307985944054142,0.0419647664998704
"KRT6A","KRT6A",0.233885199611527,0.126503222692709
